paper,paper_doi,fid,iid,lat,long,pop,sub_pop,continent,country,state,dataset_N_HO_SNPs,geno_rate_at_HO_SNPs,dataset_N_genochip_SNPs,geno_rate_at_genochip_SNPs,needs_imputation_for_IBD,imputation_params,phasing_params,comments
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Adygei,Adg-222,45.01,40.22,Turkish-Caucasus populations,Adygei,Europe,Russia,"Adyghei Republic, Shovgenovsky district",554998,0.98916,50542,0.995726,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: Adg-222
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Adygei,Adg-224,45.01,40.22,Turkish-Caucasus populations,Adygei,Europe,Russia,"Adyghei Republic, Shovgenovsky district",554998,0.9886,50542,0.994599,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: Adg-224
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Adygei,Adg-226,45.01,40.22,Turkish-Caucasus populations,Adygei,Europe,Russia,"Adyghei Republic, Shovgenovsky district",554998,0.98993,50542,0.996082,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,F; 'Version ID' at AADR v50.0: Adg-226
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Adygei,Adg-227,45.0,40.22,Turkish-Caucasus populations,Adygei,Europe,Russia,"Adyghei Republic, Shovgenovsky district, Mamkheg village",554998,0.990009,50542,0.996439,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,F; 'Version ID' at AADR v50.0: Adg-227
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Adygei,Adg-238,45.0,38.75,Turkish-Caucasus populations,Adygei,Europe,Russia,Adyghei Republic,554998,0.990083,50542,0.996597,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: Adg-238
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Hemshin,ARK-59,41.0,39.7,Turkish-Caucasus populations,Hemshin,Europe,Russia,"Adyghei Republic, Maykop, p.Proletarsky",554998,0.98363,50542,0.990879,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: ARK-59
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Hemshin,ARK-72,41.0,39.7,Turkish-Caucasus populations,Hemshin,Europe,Russia,"Adyghei Republic, Maykop, p.Proletarsky",554998,0.98905,50542,0.995311,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: ARK-72
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Hemshin,ARK-76,41.0,39.7,Turkish-Caucasus populations,Hemshin,Europe,Russia,"Adyghei Republic, Maykop, p.Proletarsky",554998,0.98968,50542,0.996201,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: ARK-76
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Hemshin,ARK-78,41.0,39.7,Turkish-Caucasus populations,Hemshin,Europe,Russia,"Adyghei Republic, Maykop, p.Proletarsky",554998,0.98934,50542,0.995766,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: ARK-78
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Hemshin,ARK-82,41.0,39.7,Turkish-Caucasus populations,Hemshin,Europe,Russia,"Adyghei Republic, Maykop, p.Proletarsky",554998,0.9892,50542,0.995885,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: ARK-82
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Hemshin,ARK-84,41.0,39.7,Turkish-Caucasus populations,Hemshin,Europe,Russia,"Adyghei Republic, Maykop, p.Proletarsky",554998,0.98953,50542,0.996003,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: ARK-84
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Hemshin,ARK-88,41.0,39.7,Turkish-Caucasus populations,Hemshin,Europe,Russia,"Adyghei Republic, Maykop, p.Proletarsky",554998,0.9883,50542,0.995093,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: ARK-88
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Hemshin,ARK-89,41.0,39.7,Turkish-Caucasus populations,Hemshin,Europe,Russia,"Adyghei Republic, Maykop, p.Proletarsky",554998,0.990272,50542,0.996696,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: ARK-89
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Azeri,AZR-0853,42.2,48.23,Turkish-Caucasus populations,Azeri,Europe,Russia,Dagestan Republic,554998,0.98992,50542,0.996379,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: AZR-0853
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Azeri,AZR-0860,42.2,48.23,Turkish-Caucasus populations,Azeri,Europe,Russia,Dagestan Republic,554998,0.98963,50542,0.996162,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: AZR-0860
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Azeri,AZR-0864,42.2,48.23,Turkish-Caucasus populations,Azeri,Europe,Russia,Dagestan Republic,554998,0.98961,50542,0.996261,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: AZR-0864
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Azeri,AZR-0865,42.2,48.23,Turkish-Caucasus populations,Azeri,Europe,Russia,Dagestan Republic,554998,0.990142,50542,0.996399,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: AZR-0865
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Azeri,AZR-0866,42.2,48.23,Turkish-Caucasus populations,Azeri,Europe,Russia,Dagestan Republic,554998,0.98983,50542,0.996063,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: AZR-0866
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Azeri,AZR-0870,42.2,48.23,Turkish-Caucasus populations,Azeri,Europe,Russia,Dagestan Republic,554998,0.990137,50542,0.996716,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: AZR-0870
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Azeri,AZR-1010,40.06,47.19,Turkish-Caucasus populations,Azeri,Asia,Azerbaijan,Azerbajan,554998,0.98853,50542,0.994876,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: AZR-1010
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Azeri,AZR-1012,40.06,47.19,Turkish-Caucasus populations,Azeri,Asia,Azerbaijan,Azerbajan,554998,0.98904,50542,0.995232,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: AZR-1012
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Azeri,AZR-1017,40.06,47.19,Turkish-Caucasus populations,Azeri,Asia,Azerbaijan,Azerbajan,554998,0.98965,50542,0.995924,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: AZR-1017
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Azeri,AZR-1018,40.06,47.19,Turkish-Caucasus populations,Azeri,Asia,Azerbaijan,Azerbajan,554998,0.98846,50542,0.994876,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: AZR-1018
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Azeri,AZR-1037,40.06,47.19,Turkish-Caucasus populations,Azeri,Asia,Azerbaijan,Azerbajan,554998,0.98844,50542,0.994994,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: AZR-1037
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Azeri,AZR-1039,40.06,47.19,Turkish-Caucasus populations,Azeri,Asia,Azerbaijan,Azerbajan,554998,0.98455,50542,0.991275,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: AZR-1039
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Azeri,AZR-1054,40.06,47.19,Turkish-Caucasus populations,Azeri,Asia,Azerbaijan,Azerbajan,554998,0.990065,50542,0.996617,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: AZR-1054
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Azeri,AZR-1058,40.06,47.19,Turkish-Caucasus populations,Azeri,Asia,Azerbaijan,Azerbajan,554998,0.990131,50542,0.996716,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: AZR-1058
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Bashkir,BAS-005,52.58,58.32,Eastern Europeans,Bashkir,Europe,Russia,"Bashkiria Republic, Baimaksky district",554998,0.98359,50542,0.990028,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: BAS-005
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Bashkir,BAS-006,52.58,58.32,Eastern Europeans,Bashkir,Europe,Russia,"Bashkiria Republic, Baimaksky district",554998,0.98056,50542,0.98783,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: BAS-006
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Bashkir,BAS-008,52.58,58.32,Eastern Europeans,Bashkir,Europe,Russia,"Bashkiria Republic, Baimaksky district",554998,0.97981,50542,0.98655,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: BAS-008
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Bashkir,BAS-014,52.67,56.55,Eastern Europeans,Bashkir,Europe,Russia,"Bashkiria Republic, Kugarchinsky district",554998,0.98985,50542,0.996261,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: BAS-014
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Bashkir,BAS-017,52.67,56.55,Eastern Europeans,Bashkir,Europe,Russia,"Bashkiria Republic, Kugarchinsky district",554998,0.97921,50542,0.98568,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: BAS-017
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Bashkir,BAS-021,52.58,58.32,Eastern Europeans,Bashkir,Europe,Russia,"Bashkiria Republic, Baimaksky district",554998,0.98311,50542,0.98938,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: BAS-021
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Bashkir,BAS-029,52.58,58.32,Eastern Europeans,Bashkir,Europe,Russia,"Bashkiria Republic, Baimaksky district",554998,0.98274,50542,0.9893,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: BAS-029
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Bashkir,BAS-031,52.58,58.32,Eastern Europeans,Bashkir,Europe,Russia,"Bashkiria Republic, Baimaksky district",554998,0.9838,50542,0.990068,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: BAS-031
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Bashkir,BAS-033,52.58,58.32,Eastern Europeans,Bashkir,Europe,Russia,"Bashkiria Republic, Baimaksky district",554998,0.98291,50542,0.98912,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: BAS-033
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Bashkir,BAS-034,52.58,58.32,Eastern Europeans,Bashkir,Europe,Russia,"Bashkiria Republic, Baimaksky district",554998,0.98581,50542,0.991571,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: BAS-034
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Bashkir,BAS-042,52.67,56.55,Eastern Europeans,Bashkir,Europe,Russia,"Bashkiria Republic, Kugarchinsky district",554998,0.98532,50542,0.992205,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: BAS-042
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Bashkir,BAS-045,52.67,56.55,Eastern Europeans,Bashkir,Europe,Russia,"Bashkiria Republic, Kugarchinsky district",554998,0.98457,50542,0.990839,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: BAS-045
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Bashkir,BAS-046,52.67,56.55,Eastern Europeans,Bashkir,Europe,Russia,"Bashkiria Republic, Kugarchinsky district",554998,0.98075,50542,0.98718,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: BAS-046
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Bashkir,BAS-060,52.67,56.55,Eastern Europeans,Bashkir,Europe,Russia,"Bashkiria Republic, Kugarchinsky district",554998,0.97877,50542,0.98538,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: BAS-060
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Bashkir,BAS-062,52.67,56.55,Eastern Europeans,Bashkir,Europe,Russia,"Bashkiria Republic, Kugarchinsky district",554998,0.9825,50542,0.98918,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: BAS-062
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Bashkir,BAS-091,54.9,55.03,Eastern Europeans,Bashkir,Europe,Russia,"Bashkiria Republic, Davlekanovo",554998,0.98233,50542,0.9891,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: BAS-091
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Bashkir,BAS-094,54.9,55.03,Eastern Europeans,Bashkir,Europe,Russia,"Bashkiria Republic, Davlekanovo",554998,0.98424,50542,0.990978,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: BAS-094
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Bashkir,BAS-096,54.9,55.03,Eastern Europeans,Bashkir,Europe,Russia,"Bashkiria Republic, Davlekanovo",554998,0.98583,50542,0.992699,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: BAS-096
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Bashkir,BAS-105,54.9,55.03,Eastern Europeans,Bashkir,Europe,Russia,"Bashkiria Republic, Davlekanovo",554998,0.98056,50542,0.98666,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: BAS-105
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Bashkir,BAS-111,54.9,55.03,Eastern Europeans,Bashkir,Europe,Russia,"Bashkiria Republic, Davlekanovo",554998,0.98155,50542,0.98825,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: BAS-111
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Bashkir,BAS-120,54.9,55.03,Eastern Europeans,Bashkir,Europe,Russia,"Bashkiria Republic, Davlekanovo",554998,0.98574,50542,0.992343,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: BAS-120
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Bashkir,BAS-125,54.9,55.03,Eastern Europeans,Bashkir,Europe,Russia,"Bashkiria Republic, Davlekanovo",554998,0.98259,50542,0.9892,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: BAS-125
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Bashkir,BAS-135,54.9,55.03,Eastern Europeans,Bashkir,Europe,Russia,"Bashkiria Republic, Davlekanovo",554998,0.9765,50542,0.98251,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: BAS-135
JeongNatureEcologyEvolution2019,https://reich.hms.harvard.edu/allen-ancient-dna-resource-aadr-downloadable-genotypes-present-day-and-ancient-dna-data,Bashkir,BAS-150,53.45,56.03,Eastern Europeans,Bashkir,Europe,Russia,"Bashkiria Republic, Ishimbai",554998,0.98245,50542,0.98934,False,,Phased by BEAGLE 5.2 using 1KG phase3 reference panel,M; 'Version ID' at AADR v50.0: BAS-150
